X.Duke.,X.82.2941176470588.,X.63.1470588235294.,X.12.4572709978154.,X.10.3781015165272.,KP PPG,KP PAPG
Duke,82.29411765,63.14705882,12.457271,10.37810152,85.85,59.75
UConn,77.5,65.11764706,11.91192425,12.1997633,80.58,62.17
Michigan State,78.9375,68.40625,10.69500185,13.12436634,82.2,63.29
Kansas,75.63636364,69.39393939,12.67087749,12.63412886,80.72,64.05
St. John's,81.55882353,69.97058824,12.90100108,11.44548421,85.24,66.85
Louisville,84.75757576,72.18181818,14.55599169,12.80003551,88.04,70
UCLA,77.73529412,71,12.08382045,12.78019301,81.26,67.03
Ohio State,79.78787879,72.78787879,14.13054664,10.50225445,82.76,67.96
TCU,78.3030303,72.06060606,13.24642605,13.76122132,80.38,68.13
UCF,80.96875,78.46875,12.99003185,11.88108927,85.07,74.45
South Florida,87.72727273,75.51515152,12.56053524,15.56663341,85.53,73.58
Northern Iowa,69.91428571,61.25714286,11.86287196,10.68353009,69.75,62.27
California Baptist,73.03030303,67.57575758,10.97008674,10.13974329,72.79,68.75
North Dakota State,80.73529412,69.58823529,12.45916682,11.96742459,76.01,72.52
Furman,76.47058824,70.5,10.49743199,10.77103298,71.44,72.76
Siena,70.52941176,65.67647059,7.516588903,10.29775082,68.89,70.24
Arizona,86.14705882,68.79411765,10.29896245,11.14036997,91.14,64.26
Purdue,81.65714286,70.14285714,10.59395737,10.80888212,85.91,65.55
Gonzaga,85.12121212,66,13.55027116,13.7113092,85.89,66.11
Arkansas,89.94117647,80.08823529,12.29915291,12.91080742,92.45,73.58
Wisconsin,83,75.91176471,12.06547793,11.67324744,86.41,70.29
BYU,83.91176471,75.32352941,12.43252735,12.97484884,88.38,72
Miami,81.93939394,71.18181818,12.72777326,9.954441677,84.14,69.81
Villanova,77.15625,70.78125,10.51300078,10.35416193,80.03,66.75
Utah State,82.52941176,70.35294118,11.79171588,11.39346531,83.45,69.26
Missouri,79.65625,75.34375,12.30947543,9.780195179,81.68,71.16
Texas,83.78125,76.8125,12.81565166,13.1159531,85.69,72.64
NC State,83.6969697,76.51515152,13.82589249,13.99803828,86.33,72.69
High Point,89.97058824,70.26470588,14.39378084,13.50265703,83.02,77.06
Hawai'i,79.625,69.71875,11.39538673,11.53461655,77.44,73.12
Kennesaw State,83.35294118,76.05882353,14.55997493,15.06941751,79.51,79.1
Queens University,84.88235294,82.94117647,10.49896014,13.17697987,81.87,82.89
Long Island University,74.08823529,71.11764706,11.09290695,14.18228666,71.98,74.67
Florida,86.78787879,72,11.50477503,11.02553854,90.97,66.48
Houston,77.14705882,62.85294118,10.76225828,12.06832155,81.03,59.34
Illinois,84.375,69.8125,11.25582287,13.47264253,86.89,65.62
Nebraska,77.28125,66.21875,11.83279853,11.63901774,79.75,62.14
Vanderbilt,86.35294118,75.20588235,11.2758319,11.39585095,89.76,70.29
North Carolina,79.78125,71.3125,10.87089745,11.10198326,83.5,69.16
Saint Mary's,78.1875,64.5625,9.59985719,10.8477365,79.81,64.5
Clemson,74.14705882,66.73529412,9.997370421,11.54781581,76.27,63.68
Iowa,75.21212121,65.96969697,12.00717904,10.36968192,77.17,62.94
Texas A&M,87.71875,79.5625,15.51530852,9.581357908,86.93,73.37
VCU,81.55882353,71.47058824,10.93282845,9.310259229,83.15,71.21
McNeese,80.03030303,66.45454545,16.27975132,11.38829144,75.97,67.67
Troy,80.27272727,73.09090909,17.13233917,14.51801389,74.21,73.06
Pennsylvania,76.10344828,73.31034483,12.18413731,10.08217468,73.89,72.88
Idaho,78.65714286,72.57142857,11.1274511,11.1283573,75.36,74.3
Prairie View A&M,78.88571429,76.2,12.72508275,16.59872426,73.7,81.49
Lehigh,73.23529412,73.97058824,11.48928044,9.209630316,68.38,75.28
Michigan,86.82352941,69.20588235,13.79607012,8.967211018,90.31,63.5
Iowa State,81.79411765,65.14705882,14.67171968,10.32834392,84.42,62.32
Virginia,80.64705882,68.41176471,11.04229432,11.64921027,81.49,63.72
Alabama,91.71875,83.46875,10.96397142,12.65926761,96.26,77.07
Texas Tech,80.40625,72.625,12.56174267,11.33578405,84.98,67.84
Tennessee,79.45454545,69.36363636,10.57441165,9.952443738,81.48,63.96
Kentucky,80.76470588,73.82352941,12.98497692,13.01158129,84.11,69.12
Georgia,89.8125,79.15625,14.33794312,14.31243397,91.61,76.57
Saint Louis,87.24242424,69.51515152,14.03350968,10.96620152,85.94,72.76
Santa Clara,82.85294118,72.44117647,11.78116718,12.37101004,86.02,72.53
Miami (OH),90.6875,75.28125,15.63585107,12.58835708,83.22,77.34
SMU,84.21212121,77.60606061,12.7052095,9.413884008,86.87,74.08
Akron,88.35294118,73.5,12.45569689,13.39663006,84.63,75.51
Hofstra,75.61764706,66.05882353,8.428000611,13.02198881,74.84,68.64
Wright State,80.73529412,73.44117647,10.75993923,12.3636593,77.34,75.93
Tennessee State,80.53125,73.34375,13.51936335,13.95987193,76.98,78.27
UMBC,76.21875,67,10.62174998,11.13842521,71.88,72.98
Howard,77.45454545,67.75757576,13.60397669,9.909056158,71.34,73.54
